Date,AAPL,RELIANCE.NS,TCS.NS,MARUTI.NS,HDFCBANK.NS,AMZN,ICICIBANK.NS,INFY.NS
05-01-2023,,,,,,,,
06-01-2023,,,,,,,,
09-01-2023,,,,,,,,
10-01-2023,,,,,,,,
11-01-2023,,,,,,,,
12-01-2023,,,,,,,,
13-01-2023,,,,,,,,
17-01-2023,,,,,,,,
18-01-2023,,,,,,,,
19-01-2023,,,,,,,,
20-01-2023,,,,,,,,
23-01-2023,,,,,,,,
24-01-2023,,,,,,,,
25-01-2023,,,,,,,,
27-01-2023,,,,,,,,
30-01-2023,,,,,,,,
31-01-2023,,,,,,,,
01-02-2023,,,,,,,,
02-02-2023,,,,,,,,
03-02-2023,,,,,,,,
06-02-2023,,,,,,,,
07-02-2023,,,,,,,,
08-02-2023,,,,,,,,
09-02-2023,,,,,,,,
10-02-2023,,,,,,,,
13-02-2023,,,,,,,,
14-02-2023,,,,,,,,
15-02-2023,,,,,,,,
16-02-2023,,,,,,,,
17-02-2023,0.015618851,0.011822528,0.013307673,0.009633195,0.012185297,0.031092082,0.013001214,0.013707922
21-02-2023,0.016476891,0.01182491,0.013651424,0.010109818,0.012170241,0.031199974,0.01250176,0.013440973
22-02-2023,0.015415516,0.012302137,0.012632363,0.009938918,0.012722532,0.03069666,0.012755542,0.013134467
23-02-2023,0.015417476,0.011310689,0.011198321,0.009949065,0.012787745,0.030634308,0.012727157,0.012552356
24-02-2023,0.015968974,0.011223456,0.01102816,0.009774715,0.012430607,0.030657984,0.012506548,0.012370323
27-02-2023,0.015664131,0.011086609,0.011537901,0.009802953,0.012158493,0.028759295,0.013016791,0.013423221
28-02-2023,0.015699035,0.010945455,0.011598004,0.009667689,0.012143394,0.02877227,0.012967465,0.013667472
01-03-2023,0.015972744,0.01113523,0.012068665,0.00992711,0.012144089,0.028469455,0.012660862,0.013402389
02-03-2023,0.01593443,0.011123285,0.011790477,0.010979951,0.012200891,0.028232736,0.012555991,0.012914169
03-03-2023,0.01692379,0.012210272,0.011833657,0.011028762,0.01231926,0.028774161,0.012919721,0.012929854
06-03-2023,0.017118321,0.012372051,0.011919262,0.011042517,0.012367257,0.028651094,0.012900294,0.013440259
08-03-2023,0.016993379,0.012214925,0.011945459,0.01100504,0.012216118,0.027757255,0.01290239,0.013464754
09-03-2023,0.016892141,0.012940949,0.011946796,0.011498351,0.012126742,0.027919532,0.013340024,0.013212051
10-03-2023,0.017080072,0.013184696,0.011875014,0.009771081,0.012646061,0.02798566,0.013619174,0.013216153
13-03-2023,0.01716775,0.013279417,0.012137645,0.009721308,0.011875013,0.028169725,0.013584692,0.013858557
14-03-2023,0.016586795,0.012865824,0.012608356,0.0096869,0.01136324,0.02685627,0.010813609,0.013725904
15-03-2023,0.016070101,0.013043508,0.012515717,0.009521814,0.011621139,0.026868787,0.010780049,0.01343404
16-03-2023,0.016302295,0.013056665,0.011969306,0.009340672,0.011667092,0.027478023,0.01061951,0.013520295
17-03-2023,0.016339117,0.013033331,0.011557758,0.009344281,0.011593564,0.027266815,0.010372355,0.013539035
20-03-2023,0.015190898,0.013101169,0.011181179,0.00916787,0.011356123,0.023294306,0.010117413,0.012856033
21-03-2023,0.014708418,0.014407944,0.011142586,0.008974145,0.009498488,0.018671324,0.010666133,0.012619009
22-03-2023,0.014398198,0.014365753,0.01133093,0.009029972,0.009486343,0.018865055,0.010582896,0.012355341
23-03-2023,0.01404561,0.014535684,0.011259104,0.009026386,0.009541139,0.01886603,0.010633786,0.012413422
24-03-2023,0.013647225,0.014393673,0.010794814,0.009072846,0.009535762,0.018541617,0.010563419,0.011810838
27-03-2023,0.013801842,0.014736376,0.010670492,0.009145997,0.009603525,0.018241837,0.010581321,0.011297477
28-03-2023,0.013840335,0.014724813,0.010660889,0.009198662,0.009717394,0.018266094,0.010566037,0.011312364
29-03-2023,0.013883797,0.014727241,0.010637055,0.009488321,0.00977838,0.018789345,0.010574686,0.010749974
31-03-2023,0.014513852,0.016217629,0.011466346,0.009484697,0.009976946,0.019567979,0.011581416,0.012077483
03-04-2023,0.01439032,0.015617758,0.011349734,0.010576803,0.009981569,0.019482717,0.011602458,0.01211766
05-04-2023,0.01453359,0.015618745,0.011430021,0.010605125,0.011196867,0.018806013,0.011595726,0.012286975
06-04-2023,0.014426191,0.015656366,0.011181926,0.0107453,0.011245047,0.01875078,0.011684868,0.012215653
10-04-2023,0.013794139,0.0156913,0.011327798,0.010397788,0.011229267,0.017949984,0.011621862,0.012292295
11-04-2023,0.013929268,0.015203247,0.011362024,0.010752172,0.010586185,0.018396877,0.01140712,0.012396418
12-04-2023,0.013987073,0.015206285,0.011482466,0.010751651,0.010696278,0.018849651,0.011489252,0.012855941
13-04-2023,0.014588024,0.015167636,0.011784529,0.010780099,0.010515248,0.020008498,0.011571993,0.013610527
17-04-2023,0.014608385,0.015149048,0.011564867,0.010761448,0.010984045,0.020008326,0.011088325,0.021095353
18-04-2023,0.014557832,0.014875077,0.011544177,0.010823148,0.011022103,0.02005193,0.011137676,0.021064889
19-04-2023,0.014142078,0.014808541,0.010803959,0.010463843,0.011021944,0.019708529,0.011214503,0.021160895
20-04-2023,0.014276734,0.01474472,0.010460039,0.009423637,0.010866243,0.019759272,0.011189967,0.021081802
21-04-2023,0.013281315,0.013963777,0.010997201,0.009952467,0.010320992,0.019771879,0.010983751,0.021055163
24-04-2023,0.01295527,0.013856092,0.010876986,0.010113629,0.010342839,0.019648312,0.011617739,0.02054754
25-04-2023,0.013042324,0.013918367,0.010795912,0.010007277,0.010720596,0.020875347,0.011696442,0.020562577
26-04-2023,0.012638834,0.013236845,0.010599892,0.009539494,0.010742795,0.0208084,0.011061969,0.02061736
27-04-2023,0.013056187,0.012945474,0.010604972,0.009482416,0.009512408,0.021746011,0.010538501,0.020979015
28-04-2023,0.012961884,0.012897858,0.010488227,0.009362129,0.009109124,0.023197747,0.009882372,0.020732385
02-05-2023,0.01296529,0.012903121,0.009797077,0.01014624,0.00907197,0.023152675,0.009883214,0.021150432
03-05-2023,0.013089696,0.012548126,0.010014975,0.010095958,0.008491086,0.023069171,0.009754842,0.021150155
04-05-2023,0.012955619,0.012561577,0.010254944,0.010040077,0.009045429,0.02197768,0.009731519,0.021138856
05-05-2023,0.015226988,0.012579821,0.010257476,0.009964111,0.014431401,0.022001208,0.009508104,0.021000584
08-05-2023,0.015085462,0.012438139,0.01005214,0.009815621,0.014466718,0.02182053,0.009606302,0.021003104
09-05-2023,0.01518572,0.011332024,0.009868212,0.009806473,0.014357313,0.021249639,0.009257785,0.021011887
10-05-2023,0.015083577,0.011353961,0.009802361,0.009818736,0.014350514,0.021606146,0.009189483,0.021016566
11-05-2023,0.015072161,0.011112816,0.009795845,0.009762281,0.014235053,0.021745548,0.00905214,0.020974043
12-05-2023,0.015116417,0.010227403,0.009809049,0.009239251,0.01427223,0.022025501,0.008967492,0.020955146
15-05-2023,0.014892293,0.009999483,0.009903798,0.009563385,0.014274623,0.02201842,0.008851944,0.021040492
16-05-2023,0.014846171,0.010513074,0.009882502,0.009903221,0.014304744,0.022058033,0.008843426,0.021064294
17-05-2023,0.014507922,0.010512863,0.01027295,0.009818533,0.014353279,0.021674204,0.008951645,0.021117134
