Simulation,Final_Portfolio_Value
1,1.330654863
2,1.185463844
3,1.105096574
4,1.300373023
5,1.153819088
6,1.207448846
7,1.186124676
8,1.040337419
9,1.153704515
10,1.245058904
11,1.156684798
12,1.209145253
13,0.929460704
14,1.615140931
15,1.127610017
16,1.19635931
17,1.259517505
18,1.344820281
19,1.445936762
20,1.183307965
21,1.002869834
22,1.253444586
23,1.535399664
24,1.310965901
25,1.456836132
26,1.011290674
27,1.219118186
28,1.213354781
29,1.239526368
30,1.153795189
31,1.298637562
32,1.322980741
33,1.316688461
34,1.163221025
35,1.168357931
36,1.248127003
37,0.838392063
38,1.111571602
39,0.936716518
40,1.254076434
41,0.9821118
42,1.199584318
43,1.370928589
44,1.272056804
45,1.1654985
46,1.253308301
47,1.021162539
48,1.062972333
49,1.211003619
50,1.39403018
51,1.052576298
52,1.033071824
53,1.215941548
54,1.161406241
55,1.301957865
56,1.251418418
57,1.255717594
58,1.15147783
59,1.341555839
60,1.277517678
61,1.185378456
62,1.39657479
63,1.063804955
64,1.50669266
65,1.112684264
66,1.379155834
67,1.430230965
68,1.187944855
69,1.107306886
70,1.103385786
71,1.352837166
72,1.126025969
73,1.277780068
74,1.330189762
75,1.178557671
76,1.437143792
77,1.100375898
78,1.498955055
79,1.294982205
80,0.870078509
81,1.137221528
82,1.272185901
83,1.09660886
84,1.282581023
85,1.288060212
86,1.518064392
87,1.061217454
88,1.343570298
89,1.065314829
90,1.32133047
91,1.338909826
92,1.174572938
93,1.244428522
94,0.971465766
95,1.223403541
96,1.264720126
97,1.730478581
98,1.22465234
99,1.31314584
100,1.074058824
101,1.257129994
102,1.056555852
103,1.170435608
104,1.032595351
105,1.174448864
106,1.311407554
107,1.043700755
108,1.207963687
109,1.114845981
110,1.128291965
111,1.068215441
112,1.133732503
113,1.271784751
114,1.233162821
115,1.335376107
116,1.207620026
117,1.279502284
118,1.203265875
119,1.076284001
120,1.139500302
121,1.206330014
122,1.278290943
123,1.503924624
124,1.181381072
125,1.023386588
126,0.956544897
127,1.221485414
128,1.30552558
129,1.177049617
130,1.152311888
131,0.922156356
132,1.014505643
133,1.073227784
134,1.285747544
135,1.382429875
136,1.066669008
137,1.201472353
138,1.103682856
139,1.322338084
140,1.345311875
141,1.163869083
142,1.532136268
143,1.154838347
144,1.102329475
145,1.389919707
146,1.291634107
147,1.229113684
148,1.170755309
149,1.159531604
150,1.171893215
151,1.320908122
152,0.889020122
153,1.356599842
154,1.098497926
155,1.091529406
156,1.111138995
157,1.375117401
158,1.352525327
159,1.146394398
160,1.257781625
161,1.37199689
162,1.302837704
163,1.111330891
164,1.034473141
165,1.051327392
166,1.328109693
167,1.133790097
168,1.27915449
169,1.178817345
170,1.317804904
171,1.220604495
172,1.289113511
173,1.153485229
174,1.280755428
175,1.406451735
176,1.418543839
177,1.141296353
178,1.413484207
179,1.24157247
180,1.231119402
181,1.091576685
182,1.000932256
183,1.444149273
184,1.236073981
185,1.251174586
186,1.227361101
187,1.246755396
188,1.041658631
189,1.441793413
190,1.2184697
191,1.040723645
192,1.168721477
193,1.416224991
194,1.245015604
195,0.868098581
196,1.103616352
197,1.174101262
198,1.508725219
199,1.031728248
200,1.063932365
201,1.119193575
202,1.167004111
203,1.334625244
204,1.483538192
205,1.175390456
206,1.303912241
207,1.133168007
208,1.090071931
209,1.442520646
210,1.311476867
211,0.97233335
212,1.177531088
213,0.975821982
214,1.377330782
215,1.471920822
216,1.317818875
217,1.089916429
218,1.296085891
219,1.32573564
220,1.054933121
221,1.188096328
222,0.942199443
223,1.36736552
224,1.332998938
225,1.246576192
226,1.004538409
227,1.048211912
228,1.187200667
229,1.3258542
230,1.142143078
231,1.265487851
232,1.078443284
233,1.534696204
234,1.274513679
235,1.036689071
236,1.117806049
237,1.300638718
238,1.343682959
239,1.078468848
240,1.133930271
241,1.082391341
242,1.157839809
243,1.089975335
244,1.281425785
245,1.175327328
246,1.133361241
247,1.350386033
248,1.114258534
249,1.220761341
250,1.129409264
251,1.055017218
252,1.25891377
253,1.043782629
254,1.088213675
255,1.166698121
256,1.304748307
257,1.082328467
258,1.109406099
259,1.258591926
260,1.415405711
261,1.109897781
262,1.491743229
263,1.314152699
264,1.22827466
265,1.015479753
266,1.546167919
267,1.210418808
268,1.234863794
269,1.329941463
270,1.196716661
271,1.120025497
272,1.184046175
273,1.341583289
274,1.339356995
275,1.534458374
276,1.265006509
277,1.419883428
278,1.378706582
279,1.189068565
280,1.039237055
281,1.18607433
282,1.155476912
283,0.920210348
284,1.03094298
285,1.26077451
286,1.088659926
287,1.031178445
288,1.290585259
289,1.064368982
290,1.265636982
291,1.267704688
292,1.17975342
293,1.083497925
294,1.295535407
295,1.226741115
296,1.289353623
297,1.272807687
298,1.006876428
299,1.422734936
300,1.126122384
301,1.336951403
302,1.301870798
303,1.316377169
304,1.110557938
305,1.188640265
306,1.021251408
307,1.282441913
308,1.322516857
309,1.154831505
310,1.141039416
311,1.318822728
312,1.372871842
313,1.109273568
314,1.396371168
315,1.225285946
316,1.263586425
317,1.385251705
318,0.995260751
319,1.235196181
320,1.074924438
321,1.137433567
322,1.316332807
323,0.999240166
324,1.179083066
325,1.220199981
326,1.155911196
327,1.348563354
328,1.56575999
329,1.11212048
330,1.095787413
331,1.091119642
332,0.945346291
333,1.104652354
334,1.494513367
335,1.051511071
336,1.240668552
337,1.059810273
338,1.182144215
339,1.176182448
340,1.204149775
341,1.179071818
342,1.422670402
343,1.002802211
344,1.122016301
345,1.119316463
346,1.08694217
347,1.182634915
348,1.139977971
349,1.279846885
350,1.133227206
351,1.277739865
352,0.991807392
353,1.532446512
354,1.051516057
355,0.99980961
356,1.156062038
357,1.221043963
358,1.535847065
359,1.318848407
360,1.522657793
361,1.391700968
362,1.109262146
363,0.981498433
364,1.258485799
365,1.088390997
366,1.115147231
367,1.042388165
368,1.0981198
369,1.103581182
370,1.145735904
371,1.185020733
372,1.274199772
373,1.26015827
374,1.437440119
375,1.323960346
376,1.142831549
377,1.388822466
378,1.059644853
379,1.113000482
380,1.062140314
381,1.126496384
382,1.191152282
383,1.349126285
384,1.169966203
385,1.058666637
386,0.978852075
387,1.109989396
388,1.729053213
389,1.303156951
390,1.252868293
391,1.235061941
392,1.119173496
393,1.237247325
394,1.126800378
395,1.100371746
396,1.096935257
397,1.18347497
398,1.278783168
399,1.189653876
400,1.299135731
401,1.184615479
402,1.259342032
403,1.203207906
404,1.361603902
405,1.167781617
406,1.130973481
407,1.103089473
408,1.253155212
409,1.259202656
410,1.300985793
411,1.18781944
412,1.030842212
413,1.418204107
414,1.04620936
415,1.088971012
416,1.341764031
417,1.201614273
418,1.182005074
419,1.172137489
420,1.156203247
421,1.309763308
422,1.360150751
423,0.93854602
424,1.225166341
425,1.175573811
426,1.310398389
427,1.326826146
428,1.042669764
429,1.144577388
430,1.351753319
431,1.02814676
432,1.388890603
433,1.116145949
434,1.179669611
435,1.323161517
436,1.211921675
437,1.020488634
438,1.005104954
439,1.236134257
440,1.33616908
441,1.220606994
442,1.07084768
443,1.191998366
444,1.245455457
445,1.192886985
446,1.416706199
447,1.182621669
448,1.091530639
449,1.339285624
450,1.340595081
451,1.053620388
452,1.241292057
453,1.189840076
454,0.950611078
455,1.060404847
456,1.269841723
457,1.096457019
458,1.163815464
459,1.172420891
460,1.149081281
461,1.365854341
462,1.225269517
463,1.136363981
464,1.097260551
465,1.126134823
466,1.096680693
467,1.189537195
468,1.325975606
469,1.355335686
470,1.252621572
471,1.453902885
472,1.105420136
473,1.232518952
474,1.198894691
475,1.010653973
476,1.687848507
477,1.418320889
478,1.104199171
479,1.018248735
480,1.216964727
481,1.234265763
482,1.487551906
483,1.248738905
484,1.269711557
485,1.245443793
486,1.166613111
487,1.130416964
488,1.362412511
489,1.200393918
490,1.147164248
491,1.136047133
492,1.415950035
493,1.379504716
494,1.084178383
495,1.199357862
496,1.123760188
497,1.067970422
498,1.199314453
499,1.171880025
500,1.333373215
501,1.17008995
502,1.323338263
503,1.151269032
504,1.37048791
505,1.121620611
506,1.095301091
507,1.478874196
508,1.235276421
509,1.072128845
510,1.34763672
511,1.385984274
512,1.164272952
513,1.17501745
514,1.246849192
515,1.259209921
516,1.420113624
517,1.131329189
518,1.132612356
519,1.266361339
520,1.413129598
521,1.41912214
522,1.042781397
523,0.925811369
524,1.060401694
525,1.155517435
526,0.999348741
527,1.240187373
528,1.325423125
529,1.022345211
530,1.332874401
531,1.244603781
532,1.348935993
533,1.151931591
534,1.209991422
535,1.223769316
536,1.067900874
537,1.341929971
538,1.119006025
539,1.134587009
540,1.278331977
541,1.27916036
542,1.07445377
543,1.115268516
544,1.20126305
545,0.979860884
546,1.258309784
547,1.072272709
548,1.056496352
549,1.26158631
550,1.254936747
551,1.601245686
552,1.302227083
553,1.21589772
554,1.296223312
555,1.073542501
556,0.998801516
557,0.978379377
558,1.254055821
559,1.313493513
560,1.299771927
